statement_clean,justification_clean,label_num,label_tf
interlink tf green airport closest airrail link country,twice three times many weeks thinkprogress org cavuto fischer scrutiny grew stronger cain backtracked,1,0
mitt romney said tragic end war iraq,beyer said trade agreements 20 countries trade surpluses one 20 data show u running trade deficits seven tradeagreement nations first nine months year ran deficits six countries 2015,3,1
measures taken administration saved taxpayers 1 billion,prison system seven 10 inmates lack diploma ged could start major improvements ged high school equivalency recognized vast majority employers colleges universities thats something state helping inmates attain years,4,1
one things would immediately bring back warrior class petraeus mcchrystal mattis keane flynn every one retired early told president obama things didnt want hear,found debate among oil analysts effect pipeline would gasoline prices especially midwest expect would drive prices estimates varied research colleagues washington post found experts didnt expect would price impact pipeline built even transcanada company behind pipeline expressed doubts price impact economist company projected wouldnt happen line operational,2,0
amount attention paid week chris christie makes coverage benghazi pale significance,rove said coverage christie pales significance coverage benghazi news attacks benghazi broke coverage widespread continued congressional hearings moreover lot coverage questioned administrations narrative response attacks indeed christie occupied much conversation also relatively slow news week benghazi garnered significant coverage even height presidential election perhaps outcome reports didnt unearth conspiracy conservatives alleged hoped still likely come republicans continue keep news insinuate mainstream media ignored attacks putting christie ringer goes far,1,0
since president obama took office federal spending increased nearly 30 percent national debt increased almost 50 percent,cfo sink watch debt increase term 3 4 billion 5 2 billion plus legislature cabinet say bond appropriations mention nationwide recession took toll florida economy hands state officials,3,1
says gerald daugherty endorsed austin americanstatesman,89 000squarefoot cotton annex near national mall washington unoccupied five years according republicans committee transportation infrastructure managers said building remains moneymaker federal protective service renting inspect delivery trucks tens thousands federal properties vacant underused,1,0
alex sink used taxpayerfunded plane could get vacation bahamas,people ends political spectrum say numbers exaggerated considerably find significant estimate wellrespected leftleaning center budget policy priorities less half obamas,3,1
despite president barack obamas promise cut healthcare costs average cost family policy 1 300,income side georgia lottery recorded total ticket sales fiscal 2012 3 835 billion according lotterys 2012 financial statements,3,1
spend almost twice much per capita health care people country,multiple parties fault thorough investigation need look actions inactions administration regulatory agency charge oversight asleep wheel bp cutting corners every party involved held fully accountable,1,0
georgias unemployment rate exceeded national rate 50 consecutive months,measure would secondlargest increase since world war ii revenue expenditure control act 1968 passed lyndon johnson reduce deficit swelled vietnam war yielded tax increase 55 3billion 1992 dollars based known far obamas plan would largest since world war ii either two best measures moreover obamas proposal constitute tax increase traditional sense since taxes would lower plan would current law,5,1
margaret sanger wanted black christian leader like judas goat lead blacks genocide remember picked martin luther king spokesman,u chamber commerce says tv ad kaine supported higher energy costs families clear chamber notes small print kaine backs concept capandtrade legislation theres record support specific bill proposal analyses two measures congress recent years concluded capandtrade carries cost consumers least one capandtrade program place resulted average lower cost consumers energy efficiency rebates capandtrade legislation one least expensive options controlling greenhouse gases experts said assertion cap trade leads higher energy prices reasonable depends specifics plan chamber cannot point instance kaine directly supported particular measure would raise energy bills necessary context,0,0
says marcy kaptur attacked military service training air force showing disrespect veterans,rubio said isis predominantislamist group benghazi myriad militias radical militants armed groups even multiple governments libya islamic states footprint stillrelatively small besides activity pockets across country group holds sway derna much benghazi experts say islamist group ansar alsharia visible among radicalized factions reports say group formed alliance isis researchers dispute though ansar alsharia members almost certainly defected experts also say situation fluid provides rubio additional albeit small amount cover,0,0
milwaukee county bus system among highest fares nation,highest fare nashville 4 per ride rating larson said milwaukee county bus system among highest fares nation systems 2 25 cash fare wasnt top national comparison fares reaching high 4 per trip regular patrons use smart card charged 1 75 ride making milwaukee county bus system par average costs,1,0
says new figures released showing wisconsin job gains 2011 final job numbers,adreans statement apply popular intown neighborhoods new housing starts far even citys population continues inch demand still low statement accurate leaves important details,1,0
governorelect scott walkers opposition highspeed rail killed 13 000 wisconsin jobs,matter conflict started russia escalated well beyond dispute south ossetia invaded another country said possible justification attacks mccain obama issued statements supporting georgias entry nato,0,0
members congress reduced salaries since great depression meaning theyve gone eight decades without pay cut,make hard argue lawmakers gone eight decades without pay cut reality congressional salaries zigzagged quite bit years sometimes exceeding todays level purchasing power sometimes falling short shedding tears buying power people earn 170 000 year erratic way congress raised salaries means story complicated kirkpatrick portrays,3,1
used children school werent vaccinated true medical conditions 19 states allow personal belief exemptions,hinojosa said republican party platform says deport everybody hell texas gop platform opposes illegal immigration legal status unauthorized u residents leaves deportations possibility platform doesnt venture far chairman said doesnt call deporting everybody living illegally,3,1
nations food supply 9999 percent safe,importantly nobody assembly say rules actually mean right assembly audience gallery allows guns ipads debatable best whether hes right assembly rules prohibit pencil paper,2,0
hillary clinton taken 800 000 lobbyists,800 000 number correct recent analysis center showed clinton accepted 865 290 lobbyists based data released march 20 2008 threshold contributions industry ad lists clinton probably low said massie ritsch spokesman center centers analysis found following amounts lobbyists gave clinton energy 442 800 pharmaceuticals health products 450 450 hospitals health services hmos insurance companies 552 050 health professionals 114 755,5,1
terrorist detainees covered geneva convention unlawful combatants circumstances entitled normal kinds courtesies treatment,police chiefs filed declarations supporting obama administrations attempt block stressed concerns illegal immigration came new law expressed worry stop undocumented witnesses coming forth serious crimes impose large new amounts work police forces without additional compensation invite lawsuits police departments divert police focusing crimes kidnappings illegal drug smuggling brewer suggests unified support police yes support two police groups theres also opposition police chiefs,2,0
average student loan debt texas 22 000the cost average size pickup truck unlike car owners students allowed refinance loans lower rates,sununu said democrats take advantage new hampshires sameday voter registration laws bus voters state new hampshire experienced instances voter fraud states top election official says isolated amount one two cases year point neither sununu election officials could point instances massachusetts residents bused across border vote election day,4,1
every piece legislation ever introduced us senate republican cosponsor,torture used information extracted likely fiction created prisoner say anything get punishment stop ethical issues aside experts say doesnt work extremely inefficient many ways counterproductive,1,0
median household income 2013 highest nation,years government types argued whether reduction expected increase counts budget cut think cut might believe 3 billion number correct state fails follow qbe formula theyre shortchanging schools might think formula bunk important give state credit increasing overall amount 1 billion porter consistently objected saw cuts k12 education result qbe funding shortfalls,4,1
cut property taxes onethird state texas ive governor,earmarks congress funded defense appropriations bill homeland security measure year congressional democrats vowed drastically cut earmarks though process far complete far appears congress track spend little 21billion earmarks skeptics say likely president bush said wants cut earmarks half,2,0
good data showing secondhand smoke kills people,stossel said good data showing secondhand smoke kills people definition good obviously differs vast majority scientists researchers studying effects secondhand smoke say data show secondhand smoke kills people data indeed solid,1,0
weve got personal tax system thats complicated costs americans 500 billion year comply current tax code,added together likely bit lower tax foundations projected 2011 figure 392 billion significantly lower 500 billion figure boehner perry made valid point whole lot money spent tax preparation united states today numbers close accurate huge part dollar cost mention money anyone actually spends rather value placed time people take preparation,2,0
one rhode island children one rhode island eat one serving freshwater fish caught state month,eight years bushs presidency deportation convicted criminals rose 71 079 2001 114 415 2008 thats 61 percent increase eight years first two years obama data suggest policy shift toward prioritizing deportation convicted criminals obama correct 70 percent increase,3,1
weve leadership travis county das office 30 years,pence said state indiana ive signed 3 5 billion tax relief figures office pence controls produce projections tax cuts level,2,0
new castle countys unemployment rate almost doubled last two years,whether law makes sense political matter unless proposed law enacted dispute fbi currently power block suspected terrorists buying dynamite ak47 bloomberg said unless disqualifying factor felony conviction record fact people terror watch list able purchase firearms explosives thousand times past six years purchases may trigger enhanced investigative methods fbi sales allowed,5,1
supporting supreme court abortion decision roe v wade,starkey served board june 2002 april 2008 looked 12 budgetrelated meetings fell within period pennington put together mailer month ago said wasnt sure came different counts meetings 12 budget meetings could attended starkey attended seven five seven final votes attendance record half hair,5,1
clinton refused repeated requests meet gold star mothers,adding financial woes increase number people relying unemployment benefits result losing jobs said alan sager professor health policy management boston university state would facing deficit matter sager said state may broke little health care program mitt romney put place three years ago instead tax revenue shortfalls growing reliance unemployment benefits due layoffs put massive budget burden state,1,0
says new mandates already reducing fulltime employment,ad americans prosperity said new mandates obamacare already reducing fulltime employment across economy whole parttime employment high independent observers say recession weak recovery rather obamas health care law,2,0
says millions dollars tax breaks paid busting unions cutting badgercare raising taxes poor middle class thanks elizabeth coggs help,didnt probably wouldnt gotten technically oreilly asked slightly different questions president obama asked whether disturbs hated many americans bush asked felt hated lot people press followed asking generally ever thought hated,0,0
says sidney blumenthal wrote benghazi attack almost certainly preventable clinton charge state department failed protect us personnel american consulate libya,southerland said health insurance plan different federal employees country key use phrase health insurance plan southerland get extra health care benefits result member congress choices insurance plans every federal employee using federal employees health benefits program doesnt get discount free coverage member congress,1,0
41 000 people right waitlist financialbased assistance tech colleges universities tech schools,conversely uw list includes students actually enrolled uw school likely understates doesnt include applicants may enrolled received uw grant reasons 41 000 waitlist figure best rock solid rating burke said 41 000 people right waitlist financialbased assistance tech colleges universities tech schools large waiting list burke cites credible source size variations lists defined different institutions mean number treated caution,4,1
obama charge 28 percent tax home sales,home sales obamas plan would also taxed 0 percent unless explained profits home sale 250 000 single person 500 000 couples comes home sales profits described mccain obamas policies,1,0
number americans receive meanstested government benefits welfare outnumbers yearround fulltime workers,sykes said number americans receive meanstested government benefits welfare outnumbers yearround fulltime workers sykes ignored article read first line described situation 2011 today addition current numbers look quite different 2011 country lower point slow climb back deep recession article also pointed original data tables clear least numbers could blurred distinction work counted recipients failure note large numbers children elderly recipient group also significant lapse context comparing number fulltime workers,1,0
people actually broken transcripts oral arguments antonin scalia told jokes got laughs justices,clear united states could unilaterally sanction bank try yet move would uncertain effects countries might join proven irans economy would shut correction 203 p nov 28 2011 paragraph originally article misstated whats permitted imported iran united states error brought attention reader,5,1
every time weve cut taxes revenues gone economy grown,medium post clinton said experts estimate almost half million people still eligible daca particularly asianamerican pacific islander community researchers estimated number eligible daca recipients might around 1 3 million 1 7 million people immigration officials accepted 820 000 applications based varying estimates leaves 500 000 nearly 900 000 people still apply immigration advocates scholars said asian american pacific islander application rates lower compared populations likely due lack information,1,0
since wisconsin gov scott walker took office losing jobs rates seen decades,overall state seen net gain jobs since walker took office months jobs declined walker go back two years find job losses greater rate,1,0
seventh highest taxed state america thats state local well,carson said chinese presence syria context carsons comments suggested military presence even carson meant something less military presence china seems taking handsoff approach conflict syria,1,0
horse racing could boost georgias economy 1 billion year create 10 000 20 000 jobs,eckhardt said countys unemployment rate national average yet poverty rate exceeds national averageand local poverty rising local jobless rate consistently trailed national rate countys poverty rate exceeded national rate since 2003 countys poverty rate dipped 2010 2011 though dip statistically significant also 2011 rate 18 1 percent nearly double rate 2000 looks like poverty risen years eckhardts statement acknowledge county rate oscillated year year sometimes going steady rise,2,0
perfect voting record organizations like veterans foreign wars american legion veterans service organizations,priebus said presidentelect trumps immigration policies similar policies sitting right senate house today temporarily suspend immigration countries harbor terrorism temporarily suspend immigration syria get better vetting trumps policies include ending sanctuary cities deporting least 2 million people building wall along u mexico border restrictions refugees restrictions abill passed housethat designed increase screening potential refugees iraq syria bill also called certifications ensure potential refugees threat security united states stalled senate two otherhouse bills restricting admission resettlement refugeeshave voted either outcome support still determined,1,0
#gradinsurance debacle direct result #obamacare #mizzou break law right thing,rowden tweeted #gradinsurance debacle direct result #obamacare #mizzou break law right thing without affordable care act mu wouldnt remove subsidies graduate students mu still provide health insurance student employees without breaking law university could example create student group health plan graduate graduate student employees first part rowdens tweet accurate takes things context second part statement isnt accurate,3,1
says first time history united states government cut taxes wartime,walker significantly reduce generalpurpose shared revenue local governments use help pay variety functions including law enforcement increase wisconsins 2012 violent crime compared previous two years higher one midwestern state,4,1
new jersey gov christie vetoed legislation extend early voting,final vote social security republicans overwhelmingly supported bill medicare medicaid majority republicans voted bill house significant minority senate,4,1
majority last quarter sherrod browns campaign contributions came outside state ohio,abbott said dallas africanamerican hispanic students pass ap exams higher rate place america thats overly broad recap research indicating students dallas passed math science ap exams better clip peers 15 districts nationally like demographics conclusion didnt sweep every ap test extend dallas students outpacing students everywhere else,1,0
department education officials investigating virginia tech shootings gotten car driven blacksburg talk police chief university president anyone else,clinic saw 2 000 teens 2009 educational outreach program reached 3 000 teens jane fonda center adolescent reproductive health emory university develops researches successful sex education methods disseminates information teens professionals grady jane fonda center resources likely played major role reduction teenage pregnancy rates fair give credit fulton county well,5,1
general assembly explicit constitutional authority impose income sales estate myriad taxes upon us,republican congressional candidate brendan doherty said cicilline providence economic development partnership chaired loaned 103 000 taxpayer funds one campaign workers worker never paid back loan however dohertys statement implies city got nothing back fact recouped loan obligation,5,1
argued years need move musharraf policy pakistan policy,fact using 75year estimates cites figure would significantly lower 62 trillion based 2011 figures,2,0
cnns crap polling bad shows one age 50 opinion hillary clinton,internet graphic accused cnn incompetent pollster found one age 50 opinion hillary clinton based misreading cnnsponsored poll two agerange subcategories produced respondents qualify statistically valid results cnns threshold plainly spelled surveyresults document,0,0
gov bob mcdonnell 2010 even create enough jobs keep pace population growth virginia,bloggers said lady gaga announced would cover face trump gets fired office original post taken site billed hybrid news satire referenced real interview cbs sunday morning indication real made story copied several sites also didnt identify fabricated portions although gaga spoken trump theres mention cbs interview announce plan shield face grief bloggers may looking garner applause one gagas supposed mask appears made whole cloth,3,1
democrats failed flip wisconsin state senate recall elections deepest red districts state,theres still long way go facility closed think obama made enough progress rated campaign promise close facility works sum romney offered backhanded praise obamas actions regard troop levels iraq afghanistan well failure close guantanamo romeny said issues obama changed view campaign dont find thats accurate cases fact obama strayed far views expressed campaign,2,0
people enter service theres mental health evaluation,emailed schilling tuesday get reaction accusation never heard back followup phone call tuesday night chafee campaign spokesman said best candidates shoot foot shot sock,5,1
claims former sen tom daschle said seniors accepting conditions come age instead treating,clear plans fund 401 k program everyone would take advantage hoping sen mccain chance define things better going forward theres lot dont know mccain would deal financial problems social security know enough say obamas statement mccains plan bush plan isnt accurate obamas statement suggests mccain would entirely supplant social security system private investment accounts republicans campaign statements far talk using private accounts supplement social security benefits,1,0
even advocate wiping 401 k entirely replacing governmentrun accounts,context suggests democrats behind,2,0
300k home owner suicides attributed foreclosures,trump tweeted hillary clinton surged trade deficit china 40 secretary state costing americans millions jobs trump largely accurate 40 percent bump though number somewhat cherrypicked point though estimates suggest trade china resulted millions job losses however trumps strong words blame clinton overplays role process administration players bigger role setting trade policy growth trade deficit predates obama administration lot factors administration would little control,0,0
2011 alone 269 new jerseyans killed gun violence,attack ad aired league conservation voters said ernst wants shut department education abolish epa april debate ernst called closure federal agencies campaign didnt dispute,5,1
27 000 rhode island jobs depend trade canada,contacted defazios office spokeswoman noted congressman background gerontology offered links articles including one show republicans fought creation medicare starting truman administration comment focuses period bill finally passed thanks gops liberaltomoderate wing largely disappeared majority house republicans sizable minority senate republicans voted favor medicare,5,1
never death caused commercial nuclear reactor united states even three mile island failed 1970s,saying women earn 77 percent men earn working job mcauliffe took valid figure blew proportion contrary mcauliffes assertion 77percent figure comparison earnings women jobs men broad comparison median annual pay men women regardless occupation factor men tend chose higher paying professions women work hours,5,1
president barack obama weakened respect america abroad,charles koch wrote past decade realized need also engage political process even ignore deep reservoir money koch spent educational lobbying efforts expenditures could plausibly described political charles koch personally gave little 50 000 candidates political committees donations prior 2004 collectively brother pac company directly supported candidates political committees tune 7 million period,2,0
import oil today ever,experts reminded us governors little statewide job losses gains take place terms put another way neither romney perry merits credit blame job conditions respective states economies rise fall due many conditions beyond governors sway make next debate lot shorter shouldnt,1,0
whether iraq war mistake,bill approved 8212 assembly 249 senate total 29 democrats voting yes signed law walker jan 31 2011 conclusion mitchell said actions taken walker businesses moving wisconsin dont pay income taxes two years walker backed signed law offers tax deduction,3,1
says texas school districts fifth largest employers world,poll found 14 percent said seen ufo 34 percent said believed ufos well take 14 percent people word indeed see strange flying objects everyday explanation thats still good 16 21 points george bushs approval ratings hovered 30 35 percent range 2007 kucinich would accurate said people believe ufos approve bushs presidency,2,0
damage protesters wisconsin state capitol cost 75 million repair,new estimate 347 500 20 times less original one indications even could high smells like effort pour gas antiprotester fire,0,0
never called partition iraq,cruz said obamacare cost country millions jobs forced millions working parttime governments employment surveys show sign occurring every measure millions people working millions fewer stuck unwillingly parttime work since time affordable care act became law law might affected parttime work certain kinds people didnt change improvement overall numbers many numbers especially wellreported unemployment rate readily available independent economic studies uncovered sign job growth suffered new health care law cruz turned familiar data upside,5,1
says house rules committee panel intelligence ethics committees able telecast proceedings main hearing room,senator grassley asked last night ive got go senior senator perry said newspaper said perrys staff checking blackberrys said might recent development federal transportation officials dropped idea newspaper said grassley referring federal announcement wrote electronic newsletter last week common sense appeared prevail matter far tell regulation questioned perry hasnt even proposed federal level,5,1
says clackamas county measure 3401 hurt county cripple economic growth increase taxes excessive special elections,much precision language even giving voters accurate information approving measure 3401 increase taxes elections cost taxpayer money election may held anyway taxes clackamas county go reasons outside frequency elections,1,0
past year alone ohio businesses created jobs almost every state country,gates said 1960s high taxes 90 percent high economic growth came time underlying reasons complicated numbers largely bear average annual growth 4 3 percent decade higher postworld war ii period gates bit talking 90 percent tax rate 1960s marginal rate fell time 70 percent gates go far say higher taxes bring higher growth connection taxes growth quite tricky,5,1
eighty percent wall street executives spouses donations go democrats,nra said manchintoomey amendment would criminalized certain private transfers firearms honest citizens requiring lifelong friends neighbors family members get federal government permission exercise fundamental right face prosecution amendment specifically exempted family friend transfers requirement conduct criminal background check extend requirement internet gun show sales friend family member purchased gun one settings would background check requirement kick thats limited circumstance sure wintemute argued added layer paperwork make familial gun transfers crimes update report updated include comment received nra shortly published,1,0
30 years world war ii steady reduction us debt percentage gross domestic product,consider average salaries 10 similarly sized cities norcross officials would still make less counterparts examine cities separately norcross officials would make cases less instances weve reviewed norcross pretty good argument council middle likedsized communities concerning pay,5,1
12 hottest years record come last 15 years,seth magaziner said rhode island today 25 percent households either dont bank account bank account theyre still relying highcost financial services like payday loans pawn shop check cashing accurately reporting results fdics 2011 survey recent available,5,1
rick scott doesnt ties lobbyist,ad says rubio opposes immigration reform worse rubio supports donald trump plan would deport 800 000 children destroying families murphy pushing rubios position far says rubio opposes immigration reform comprehensive bill path citizenship failed 2013 rubio called piecemeal approach border security first still wants change immigration laws believes politically impractical one swoop immigration advocates argue rubios piecemeal approach delay tactic kicks path citizenship even road rubio support trump said overturn aprogram temporarily allows dreamers avoid deportation affecting 740 000 people action would leave undocumented immigrants face threat deportation rubio said hesupports legislative replacement daca,0,0
end decade interest owe debt could rise nearly 1 trillion,study grant cited column show learning gains states charter school students surpassed learning gains rhode island peers gains greater gains states participated study stanfords center research education outcomes writers study cautioned educators lose sight importance proficiency grant reflect concern column boasts rhode island charter schools nationally recognized study cites rhode island one nine states deserve mention,3,1
says wisconsins 201113 state budget contains fee increases,cardenas specific numbers organization says misspoke ellis raises valid questions much 60 billion package ultimately go disaster relief find significantly cardenas said,0,0
obama put 10 percent tax tanning,kaine says pinnacle overlook far southwestern virginia closer eight state capitals richmond kaine gets b+ quiz,5,1
theus economyis three times asbig chinas,sum cagle said state could save 100 000 week legislature reduce session schedule cagles argument longer legislature session costs georgia taxpayers lieutenant governors statement correct costs good bit money operate legislature session consider cost temporary staff alone consider regular per diem costs cagles weekly estimate 100 000 seems conservative,4,1
john mccain opposed legislation fund levees flood control programs considers pork,one obamas fervent campaign supporters allied mccain feingolds effort mccain front urging senate reject water resources bill consistent branding governments process funding projects exercise porkbarrel spending mccain naysayer water projects advancing argument spending priorities set water projects proposing way change,3,1
dont know anything hillary terms religion shes public eye years years yet theres theres nothing,2005 helped broker deal among bipartisan group senators prevent showdown democrats ability filibuster conservative judicial nominees defied party opposing president bushs tax cuts 2001 2003 supports making permanent pushing stricter fuel efficiency standards caps greenhouse gases combat global warming least reid cant accused sugarcoating personal impressions hes record able stand john mccain,0,0
says national health care law puts federal bureaucrats american citizen doctor,like chain emails seems letter morphed webbased game telephone started specious campaign attack back 2006 hung around rumor new administration,1,0
department veterans affairs doctors prohibited recommending medical marijuana,veterans still seek medical marijuana legal va health care,5,1
enacting righttocarry act would amount expanding rights sex offenders terrorists child predators abusers carry concealed weapons across state lines,cicilline said righttocarry bill would expand rights sex offenders terrorists child predators abusers carry concealed weapons across state lines found statement didnt meet test fourth apply terrorist label 400 000 people governments watchlist convicted misdemeanor terroristic threat best exaggeration saying republicans chose focus efforts expanding gun rights sex offenders terrorists child predators abusers implied heavy dose hyperbole intent get updates politifactri twitter,3,1
least year called two additional brigades perhaps three,president would deploy least two additional brigades afghanistan reenforce counterterrorism operations support natos efforts taliban speech first time could find obama specifically advocating brigades afghanistan technically speaking time speech aug 1 2007 recent statement 10 days short year pretty darn close likely speech reflected policy crafted longer period 10 days,5,1
1916 us government predicted 1940s paper would come hemp trees would need cut,ad accurately quoted one promise checks saying obama kept campaign promise toughen ethics rules however ignored least 10 ethicsrelated promise checks showed mixed record including three promises rated stalled three rated broken,1,0
spend per student almost major country world,trump said united states spends per student almost major country world trumps assertion u taxpayers dont get enough bang relative buck students test scores ranked worldwide checks recent numbers put united states third government spending education behind switzerland norway,5,1
says dick cheney debaathisized iraqi government created isis,matthews said cheney debaathisized iraqi government created isis find cheney played key role debaathification creating circumstances thatled formation isis former baathists provide important military isis leadership first years invasion joined forces group preceded isis alqaida iraq however many baathists later turned alqaida iraq shifted back orbit became isis due repressive policies iraqi prime minister maliki causal link distant say cheney created isis decisions contributed groups formation,2,0
platform make changes current medicare system current retirees anyone approaching retirement,trump said isis making millions dollars week selling libyan oil experts news reports say isis attacked libyas oil fields recent months amid countrys instability instead say terrorist group focused disrupting oil markets preventing rivals getting oil libya,1,0
twelve percent garbage collected solv cleanups volume plastic bags,note cornilles willing buck party cycle bonamici sure makes tea party candidate,4,1
transpacific partnership weve got country like malaysia taking really serious efforts crack human trafficking,saying 1 massachusetts ranked 47th job growth 2 suggesting romney blame find right numbers indeed federal jobs numbers indicate matter sliced data state 47th economists told us stretch blame credit romney governor job numbers,4,1
medicare part far expensive affordable care act unlike act never budgeted,trump said say mexico cant pay wall say course trade deficit mexico thats unbelievably big billions billions dollars far talking wall trade deficit 50 billion estimates build wall vary widely though ones saw smaller trade deficit impossible know precise figure trump hasnt offered detailed plan reality trade deficit nothing whether mexican government could afford write united states check build wall,4,1
new mexico democratic gubernatorial candidate diane denish spent federal stimulus funds campaign christmas cards,remind readers many allegations original watchdog report came bigger pricetags arent ruling item told think documentation makes clear denish spent federal stimulus funds prepare christmas cards canceled campaign check justifies ad calling campaign christmas cards even experts agreed actions would produced monetary loss small would unlikely trigger anything beyond warning request repayment,3,1
prosecution state sen balfour cost less 100 excluding prosecutors salaries,statement checking short halfway fiscal year 2009 washington run money halfway number little bit push actually 57 percent year run money metaphorical literal boehner right central point spending money taking difference close halfway mark fiscal year,3,1
factually correct say jennifer brunner inherited least 18 lawsuits came office result ken blackwells mismanagement 2004 election,castro said less half poorest american households home internet subscription 48 percent nations poorest quintile householdsthe bottom 20 percentreported home internet connection 2013 home web access correlates income appears,1,0
says obama doubled funding pell grant,sullivan said mark begich taken campaign cash kochs sullivan hasnt taken dime 2010 kochpac donated 5 000 begichaffiliated pac thats modest amount campaignfinance standards begich hasnt received past four years sullivan hasnt received money directly kochs begichs republican challengers certainly benefit much larger tv ad buys kochaffiliated groups attacking democrat kochfunded group americans prosperity spent nearly 1 million alaska benefiting sullivan republicans race,4,1
says paul ryan tried change whole game social security,even ambitious plan affect people older 55 younger workers plans voluntary allowed workers stay within traditional social security system time proposed ending social security altogether thats exactly radio ad alleging,3,1
250 voter registration groups ranging across entire political spectrum filed state registering voters right,lenny curry argued 250 groups actively registering voters across political spectrum registering voters right curry underestimated number groups signed state register voters continue file monthly paperwork stay active less half groups registered single voter since law took effect six groups registered nearly 90 percent voters far furthermore statements intent illustrate ease complying law measure wont clear election season full swing politifact florida partnering 10 news 2012 election season,3,1
never said falkland islands,norquist said state legislature spent less 1 percent surplus last three years roads correct figure 7 percent difference equaling least 86 million,3,1
says rick scott didnt even come education summit take time go tea party convention week,twoyear budget adopted lawmakers signed law perry required balanceand theres indication longer ads statementcasting sale shortterm notes covering perrys deficitsmisrepresents routine annual sale,5,1
